Country ,Year,GDP (billion US$),GDPpc (US$),HDI 
Rwanda,1999,2.16,269.30,0.324
Rwanda,2000,2.07,255.10,0.34
Rwanda,2001,1.97,239.10,0.35
Rwanda,2002,1.97,234.80,0.369
Rwanda,2003,2.14,249.60,0.385
Rwanda,2004,2.38,270.30,0.406
Rwanda,2005,2.93,325.10,0.422
Rwanda,2006,3.32,358.10,0.442
Rwanda,2007,4.07,427.50,0.456
Rwanda,2008,5.18,529.60,0.467
Rwanda,2009,5.67,565.00,0.48
Rwanda,2010,6.13,594.20,0.489
Rwanda,2011,6.89,651.00,0.497
Rwanda,2012,7.66,706.20,0.506
Rwanda,2013,7.82,704.50,0.508
Rwanda,2014,8.24,724.80,0.513
Rwanda,2015,8.54,733.90,0.515
Rwanda,2016,8.7,728.90,0.524
Rwanda,2017,9.25,756.50,0.526
Rwanda,2018,9.64,768.90,0.528
Rwanda,2019,10.35,806.10,0.534
Rwanda,2020,10.17,773.80,0.532
Rwanda,2021,11.05,821.20,0.534
Rwanda,2022,13.31,966.20,
Zambia,1990,3.29,427.40,0.412
Zambia,1991,3.38,428.50,0.408
Zambia,1992,3.18,394.10,0.408
Zambia,1993,3.27,395.80,0.414
Zambia,1994,3.66,431.50,0.411
Zambia,1995,3.81,438.40,0.413
Zambia,1996,3.6,404.10,0.414
Zambia,1997,4.3,471.20,0.413
Zambia,1998,3.54,377.50,0.411
Zambia,1999,3.4,353.80,0.413
Zambia,2000,3.6,364.00,0.418
Zambia,2001,4.09,401.70,0.425
Zambia,2002,4.19,399.10,0.434
Zambia,2003,4.9,452.30,0.448
Zambia,2004,6.22,556.10,0.459
Zambia,2005,8.33,720.40,0.472
Zambia,2006,12.76,"1,065.60",0.484
Zambia,2007,14.06,"1,133.40",0.495
Zambia,2008,17.91,"1,393.50",0.506
Zambia,2009,15.33,"1,150.90",0.519
Zambia,2010,20.27,"1,469.40",0.529
Zambia,2011,23.46,"1,644.50",0.534
Zambia,2012,25.5,"1,729.60",0.548
Zambia,2013,28.04,"1,840.30",0.554
Zambia,2014,27.14,"1,724.60",0.557
Zambia,2015,21.25,"1,307.90",0.562
Zambia,2016,20.96,"1,249.90",0.564
Zambia,2017,25.87,"1,495.80",0.568
Zambia,2018,26.31,"1,475.20",0.572
Zambia,2019,23.31,"1,264.10",0.575
Zambia,2020,18.11,956.80,0.57
Zambia,2021,22.1,"1,134.70",0.565
Zambia,2022,29.16,"1,456.90",
,,,,
,,,,
,,,,
